requete,formattage,lat,lng
"rue+Morand,Paris","Rue Morand, 75011 Paris, France",48.8688301,2.3763158
"rue+Moret,Paris","Rue Moret, 75011 Paris, France",48.8671626,2.3794083
"rue+de+Nemours,Paris","Rue de Nemours, 75011 Paris, France",48.86564070000001,2.3725623
"cour+de+l'Ours,Paris","Cour de l'Ours, Paris, France",48.8517141,2.3755486
"cite+Parchappe,Paris","Cite Parchappe, 75012 Paris, France",48.8530281,2.3715972
"place+Pasdeloup,Paris","Place Pasdeloup, 75011 Paris, France",48.8632375,2.3669292
"passage+Piver,Paris","Passage Piver, 75011 Paris, France",48.87042959999999,2.3745842
"impasse+Questre,Paris","Impasse Questre, 75011 Paris, France",48.8680805,2.3809644
"passage+Rochebrune,Paris","Passage Rochebrune, 75011 Paris, France",48.8617105,2.3800476
"impasse+Saint-Sebastien,Paris","Impasse Saint-Sebastien, 75011 Paris, France",48.861234,2.3712353
"impasse+des+Trois+Soeurs,Paris","Impasse des 3 Surs, 75011 Paris, France",48.8585374,2.3772125
"avenue+de+Taillebourg,Paris","Avenue de Taillebourg, 75011 Paris, France",48.8495437,2.3976128
"passage+Thiere,Paris","Passage Thiere, 75011 Paris, France",48.8540845,2.3737025
"cour+Vigues,Paris","Cour Vigues, 75012 Paris, France",48.8522048,2.3735849
"passage+des+Eaux+Vives,Paris","Mikve Les Eaux Vives, 31 Bis Rue de Thionville, 75019 Paris, France",48.89047619999999,2.3861151
"cite+Voltaire,Paris","Cite Voltaire, 75011 Paris, France",48.8527285,2.3905132
"rue+Voltaire,Paris","Rue Voltaire, 75011 Paris, France",48.8524948,2.3914026
"avenue+Ledru-Rollin,Paris","Avenue Ledru-Rollin, 75012 Paris, France",48.8484314,2.3721868
"rue+Abel,Paris","Rue Abel, 75012 Paris, France",48.8471157,2.3752023
"rue+d'Aligre,Paris","Rue d'Aligre, 75012 Paris, France",48.8491007,2.3782133
"place+d'Aligre,Paris","Place d'Aligre, 75012 Paris, France",48.8488312,2.3783305
"rue+Allard,Paris","Rue Allard, 94160 Paris, France",48.8405582,2.4147551
"rue+de+l'Ambroisie,Paris","Rue de l'Ambroisie, 75012 Paris, France",48.834186,2.385485
"route+des+Barrieres,Paris","Route des Barrieres, 75012 Paris, France",48.818319,2.4496349
"rue+de+Bercy,Paris","Rue de Bercy, 75012 Paris, France",48.84191819999999,2.3768753
"allee+de+Bercy,Paris","Allee de Bercy, 75012 Paris, France",48.8421976,2.3765333
"rue+Biscornet,Paris","Rue Biscornet, 75012 Paris, France",48.8504082,2.3697938
"route+de+la+Dame+Blanche,Paris","Route de la Dame Blanche, 75012 Paris, France",48.8451057,2.4413148
