rue;x;y
Cour Saint-Joseph;23736;488524
Cour Saint-Louis;23728;488528
Cour Saint-Nicolas;23884;488507
Cour Sedaine;23743;488566
Cour Vendome;23280;488672
Cour Vigues;23735;488522
Cours de Vincennes;24049;488476
Cours des Marechaux;24390;488424
Cours du 7eme art;23868;488781
Cours du Commerce Saint-Andre;23387;488526
Cours la Reine;23141;488648
Espl. Henri de France;22705;488390
Espl. Pierre Vidal-Naquet;23814;488296
Espl. Roger Linet;23778;488678
Espl. Saint-Louis;24347;488405
Esplanade des Invalides;23132;488612
Esplanade Jacques Chaban-Delmas;23116;488479
Esplanade Leo Hamon;23512;488367
Esplanade Max Guedj;22788;488410
Galerie Colbert;23393;488668
Galerie d'Orleans;23374;488638
Galerie de Beaujolais;23382;488658
Galerie de la Cour d'Honneur;23371;488638
Galerie de la Madeleine;23228;488696
Galerie de Montpensier;23372;488651
Galerie de Nemours;23363;488630
Galerie de Valois;23378;488639
Galerie des Proues;23372;488633
Galerie des Varietes;23416;488708
Galerie du Caire;23493;488682
Galerie du Jardin;23376;488637
Galerie du Theatre Francais;23355;488634
Galerie Elysees-la Boetie;23063;488703
Galerie Feydeau;23413;488706
Galerie Montmartre;23419;488705
Galerie Saint-Denis;23512;488675
Galerie Saint-Marc;23419;488705
Galerie Sainte-Foy;23498;488681
Galerie Vero-Dodat;23402;488628
Galerie Vivienne;23397;488666
Gambetta;23984;488649
Hameau Beranger;22740;488526
Hameau Boileau;22635;488444
Hameau d'Alleray;23023;488377
Hameau la Fontaine;22749;488527
Hameau Michel-Ange;22596;488401
Impasse Barrier;23801;488478
Impasse Basilide Fossard;24033;488699
Impasse Baudran;23554;488241
Impasse Baudricourt;23623;488254
Impasse Beaubourg;23536;488621
Impasse Berthaud;23544;488616
Impasse Bon Secours;23837;488550
Impasse Bourdin;23059;488675
Impasse Bourgoin;23678;488239
Impasse Boursault;23205;488829
Impasse Bouvart;23466;488485
Impasse Calmels;23384;488943
Impasse Canart;24086;488460
Impasse Carriere-Mainguet;23881;488567
Impasse Chandon;22876;488387
Impasse Charles Petit;23849;488512
Impasse Chartiere;23461;488484
Impasse Chausson;23666;488754
Impasse Clisson;23671;488315
Impasse Cordon-Boussard;23973;488656
Impasse Corneille;22626;488447
Impasse Crozatier;23805;488482
Impasse d'Amsterdam;23265;488777
Impasse Damesme;23556;488224
Impasse Dany;23205;488778
Impasse Daunay;23870;488603
Impasse de Bergame;23994;488533
Impasse de Casteggio;23987;488539
Impasse de Conti;23383;488570
Impasse de l'Ecole;23418;488784
Impasse de l'Eglise;22908;488434
Impasse de l'Enfant Jesus;23145;488449
Impasse de l'Hotel d'Argenson;23572;488568
Impasse de la Baleine;23775;488673
Impasse de la Confiance;23997;488533
Impasse de la Defense;23271;488852
Impasse de la Gaite;23246;488404
Impasse de la Planchette;23556;488683
Impasse de la Poissonnerie;23633;488556
Impasse de la Sante;23427;488366
Impasse de la Tour d'Auvergne;23424;488797
Impasse de la Vallee de Fecamp;23988;488348
Impasse de Levis;23155;488825
Impasse de Malakoff;22828;488765
Impasse de Mont-Louis;23883;488577
Impasse de Nevers;23386;488553
Impasse de Presles;22960;488524
Impasse de Valmy;23268;488571
Impasse de Wattignies;23995;488347
Impasse Delaunay;23859;488551
Impasse Delepine;23893;488530
Impasse Deligny;23227;488964
Impasse des 2 Anges;23328;488553
Impasse des 2 Cousins;22935;488849
Impasse des 2 Nethes;23272;488857
Impasse des 3 Surs;23772;488585
Impasse des 3 Visages;23444;488590
Impasse des Anglais;23756;488891
Impasse des Belles Feuilles;22805;488687
Impasse des Bourdonnais;23452;488604
Impasse des Bufs;23474;488481
Impasse des Chevaliers;23965;488719
Impasse des Cloys;23393;488925
Impasse des Crins;23990;488539
Impasse des Jardiniers;23922;488522
Impasse des Orteaux;23990;488565
Impasse des Panoyaux;23850;488661
Impasse des Pretres;22831;488648
Impasse des Primeveres;23696;488588
Impasse des Rigaunes;23980;488761
Impasse des Souhaits;23992;488540
Impasse des Vignoles;24025;488554
Impasse Dombasle;23017;488351
Impasse Druinot;23806;488498
Impasse du Buf;23533;488591
Impasse du Cadran;23455;488834
Impasse du Credit Lyonnais;23447;488201
Impasse du Cure;23588;488910
Impasse du Dr Jacques Bertillon;23002;488673
Impasse du Marche aux Chevaux;23567;488387
Impasse du Maroc;23690;488869
Impasse du Moulin Vert;23245;488291
Impasse du Petit Modele;23594;488326
Impasse du Pilier;23901;488588
Impasse du Rouet;23255;488276
Impasse du Talus;23325;488964
Impasse du Tertre;23401;488868
Impasse Dupuy;23613;488883
Impasse Erard;23843;488457
Impasse Eveillard;24033;488645
Impasse Florimont;23157;488317
Impasse Fortin;23068;488728
Impasse Franchemont;23834;488534
Impasse Girardon;23370;488879
Impasse Gomboust;23315;488676
Impasse Grimaud;23890;488819
Impasse Grisel;23033;488479
Impasse Gros;24038;488557
Impasse Hautefeuille;23430;488524
Impasse Haxo;24075;488680
Impasse Jean Beausire;23680;488549
Impasse Lamier;23888;488578
Impasse Lebouis;23218;488368
Impasse Leger;23096;488853
Impasse Letort;23439;488953
Impasse Louvat;23275;488334
Impasse Marie de Regnier;22841;488566
Impasse Marteau;23621;489016
Impasse Martini;23559;488700
Impasse Marty;23252;488969
Impasse Massonnet;23517;488955
Impasse Mathieu;23132;488411
Impasse Maubert;23494;488511
Impasse Milord;23295;488962
Impasse Molin;23643;488905
Impasse Morlet;23955;488511
Impasse Mousset;23906;488453
Impasse nationale;23679;488252
Impasse Onfroy;23558;488243
Impasse Oudinot;23197;488505
Impasse Paul-Louis Courier;23246;488561
Impasse Pers;23456;488898
Impasse Petin;23989;488777
Impasse Piver;23745;488701
Impasse Pixerecourt;23950;488731
Impasse Popincourt;23765;488590
Impasse Poule;23993;488532
Impasse Questre;23809;488680
Impasse Racine;22624;488432
Impasse Raffet;22648;488512
Impasse Rancon;24027;488557
Impasse Raymond Queneau;23616;488956
Impasse Richard;23068;488337
Impasse Robert;23390;488949
Impasse Rolleboise;23989;488535
Impasse Ronsin;23141;488443
Impasse Rothschild;23261;488882
Impasse Royer-Collard;23409;488457
Impasse Ruffin;23070;488678
Impasse Saint-Alphonse;23268;488232
Impasse Saint-Claude;23656;488605
Impasse Saint-Denis;23498;488655
Impasse Saint-Eustache;23451;488636
Impasse Saint-Fiacre;23502;488594
Impasse Saint-Francois;23441;488965
Impasse Saint-Paul;24036;488559
Impasse Saint-Pierre;24001;488546
Impasse Saint-Sebastien;23712;488612
Impasse Saint-Vincent;23851;488778
Impasse Sainte-Marthe;23724;488740
Impasse Sainte-Monique;23295;488952
Impasse Salembriere;23465;488528
Impasse Sandrie;23298;488717
Impasse Suez;23999;488585
Impasse Truillot;23744;488602
Impasse Vandal;23078;488273
Impasse Vassou;24078;488463
Impasse Voltaire;22614;488434
Jardin Roger Priou Valjean;23592;488539
Lac de Saint-Mande;24232;488418
Passage Abel Leblanc;23821;488462
Passage Alexandre;23155;488402
Passage Alexandrine;23873;488559
Passage Alombert;23566;488641
Passage Antoine Careme;23457;488608
Passage Barrault;23487;488285
Passage Barrois;23563;488642
Passage Barthelemy;23678;488837
Passage Basfroi;23781;488555
Passage Beaufils;24051;488524
Passage Ben Aiad;23461;488662
Passage Beslay;23743;488635
Passage Binder;23825;488843
Passage Boiton;23502;488277
Passage Boudin;24075;488693
Passage Boulay;23176;488953
Passage Bourgoin;23690;488244
Passage Brady;23552;488712
