haussmann,ascenseur,orientation_sud,WC_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,surface,coordonnee_x,coordonne_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,115,,,,,,4,,,3,,,,,,,,,,,,,1095000
,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,30,,,,,,1,,,,,,,,,,,,,,,,265000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,48,,,,2,,3,,,2,,,,,,,,,,,,,400000
,1,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,1,32,,,,1,,1,,,,,,,,,,,,,,,,420000
,,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,83,,,,,,3,,,,,,,,,,,,,,,,680000
,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,7,,,,,,4,,,3,,,,,,,,,,,,,926000
,1,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,1,,1,,,,,,,,,,,,,1,,,,,,1,,,,80,,,,3,,3,,,2,,,,,,,,,,,,,720000
,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,35,,,,,,1,,,,,,,,,,,,,,,,365000
,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,1,1,,,1,,,,,,,,,,1,,1,,,,1,,,,105,,,,4,,4,,,2,,,,,,,,,,,,,1150000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,,1,,1,1,,1,,,,1,,,,73,,,,1,,3,,,,,,,,,,,,,,,,690000
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,13,,,16,,,1,,,,,,,,,,,,,,,,119000
,,,,,1,,,,1,,,,,,,,,,,,,,,1,,1,,,,1,1,1,,,,1,,,,,,,,,,1,1,,,,,,1,,,,76,,,,7,,3,,,,,,,,,,,,,,,,699000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,64,,,,7,,4,,,3,,,,,,,,,,,,,460000
,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,1,,,48,,,,,,2,,,,,,,,,,,,,,,,410000
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,36,,,15,,,1,,,,,,,,,,,,,,,,340000
,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,1,25,,,,6,,1,,,,,,,,,,,,,,,,241000
,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,1,1,,1,,,,1,,,,47,,,,2,,2,,,,,,,,,,,,,,,,367000
,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,1,,,1,,,,,,,,1,,,1,,,,,,,,47,,,,,,3,,,2,,,,,,,,,,,,,435000
