haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface_q,coordonnee_x_q,coordonnee_y_q,arrondissement_q,etage_q,nombre_etages_q,nombre_pieces_q,nombre_salles_de_bains_q,nombre_WC_q,nombre_chambres_q,date_refection_q,charges_q,nombre_fenetres_q,surface_balcon_q,date_construction_q,hauteur_plafond_q,taxe_fonciere_q,date_ravalement_q,honoraires_q,terrasse_surface_q,piscine_taille_q,classification_energie_q,prix
,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,,1,,1,25,23684,488617,11,2,,1,,,,,,,,,,,,,,,,0
1,1,,,1,1,,,,1,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,,,1,,,,1,,,,,,1,,0,30,22761,488628,16,,2,2,,,1,,,,,,,,,,,,,1000
,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,100,22823,488462,15,,,4,,,3,,,,,,,,,,,,,3000
,,,,1,1,,,,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,,1,,23522,488325,13,,,2,,,1,,,,,,,,,,,,,1000
,1,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,33,23115,488461,7,2,,2,,,1,,,,,,,,,,,,,1000
,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,30,22997,488351,15,,,1,,,,,,,,,,,,,,,,0
,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,0,104,22761,488628,16,,,3,,,2,,,,12,,,,,,,,,3000
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,,,1,,1,135,22875,488665,16,4,,5,2,,4,,,,,,,,,,,,,4000
,,,1,,1,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,29,23249,488818,8,,,1,,,,,,4,,,,,,,,,,0
,1,1,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,1,,1,55,24025,488658,20,,,2,,,1,,,,6,,,,,,,,,1000
,1,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,0,80,23557,488562,4,3,,3,,,2,,,3,,,,,,,,,,2000
,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,0,105,23199,488569,7,2,,3,,,2,,,,,,,,,,,,,3000
,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,1,46,23077,488824,17,,,2,,,1,,,,,,,,,,,,,1000
,,,,,1,,,,,1,,,,1,,,,,,,,1,1,,,1,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,1,38,23180,488817,17,,,1,,,1,,,,,,,,,,,,,1000
,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,0,16,23820,488828,19,,,1,,,,,,,,,,,,,,,,0
,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,27,23608,488253,13,,,2,,,1,,,,,,,,,,,,,0
