haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,1,,,,1,47,23956,488469,12,2,,2,,,,,,,,,,,,,,,,460000
1,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,0,64,23879,488410,12,,,3,,,2,,,,,,,,,,,,,595000
,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1,,,,,,,,,1,,1,1,,,,,,,,,1,,,,,1,,,,0,27,23879,488410,12,2,,1,,,,,,,,,,,,,,,,232000
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,1,73,23251,488700,9,7,,3,,,2,,,,,,,,,,,,,1980000
,,,,1,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,1,1,1,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,0,65,23404,488725,9,3,,3,,,2,,,,,,,,,,,,,720000
,0,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,1,15,23398,488749,,,,2,,,1,,,,,,,,,,,,,129000
,,,,,1,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,71,23488,488769,9,,,2,,,1,,,,,,,,,,,,,634000
,,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,0,71,23404,488725,9,,,1,,,,,,,,,,,,,,,,560000
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,42,23306,488800,9,,,2,,,1,,,,,,,,,,,,,345000
,1,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,0,70,23404,488725,9,3,,3,1,,2,,,,,,,,,,,,,795000
