haussmann,ascenseur,orientation_sud,wc_separes,salon,cuisine,metro_proche,refait_recemment,mezzanine,calme,digicode,videophone,chauffage_electrique,chauffage_individuel,chauffage_collectif,chauffage_sol,ecoles_proches,commerces_proches,sur_cour,vue_toits,porte_blindee,poutres_apparentes,parquet,baignoire,cuisine_moderne,cuisine_americaine,cuisine_equipee,sans_vis_a_vis,balcon,cinemas_proches,cheminee,prevoir_travaux,parking,cave,rangements,immeuble_pierre,gardien,dressing,lumineux,moulures,double_vitrage,ravalements_recents,buanderie,chauffage_gaz,parking_public_proche,debarras,jardin,maison,appartement,entree,plan_etoile,traversant,terrasse,piscine,terrains_sport_proches,meuble,etat_general,etat_copropriete,studio,dernier_etage,local_velos,seloger,explorimmo,fnaim,laforet,pap,paruvendu,coordonnees_precises,surface,coordonnee_x,coordonnee_y,arrondissement,etage,nombre_etages,nombre_pieces,nombre_salles_de_bains,nombre_WC,nombre_chambres,date_refection,charges,nombre_fenetres,surface_balcon,date_construction,hauteur_plafond,taxe_fonciere,date_ravalement,honoraires,terrasse_surface,piscine_taille,classification_energie,prix
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,1,180,24063,488770,19,,,8,,,5,,,,,,,,,,,,,1260000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,0,140,23820,488828,19,,,5,,,,,,,,,,,,,,,,995000
,,,,,1,,1,,,,,,1,,,,,,,,,1,,,1,1,,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,1,,,,,,0,100,23820,488828,19,,2,3,1,,2,,,,,,,,,,,,,830000
,,,,,1,,,,1,,,,1,,,,,1,,,,,,,1,1,,,,,,,1,,,,,1,,,,,,,,,1,,1,,1,,,,,,,,,,1,,,,,,0,30,23221,488844,17,,4,2,,1,1,,,,,,,,,,,,,290000
,,1,1,,1,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,,,,,,1,,,,1,,,,1,1,1,1,,,1,,,,,,,,,1,,,,,,1,135,23887,488793,19,,,6,1,1,4,,,,,,,,,,,,,1150000
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,,,,,,0,82,23820,488828,19,,,3,1,1,2,,,,,,,,,,,,,227000
,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,0,130,23555,488323,13,,,6,,1,4,,,,,,,,,,,,,999000
,,,1,,1,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,,,,1,,,,1,,,,,1,,1,,,1,,,,,,,,,1,,,,,,0,325,23221,488844,17,,,10,1,3,6,,,,,,,,,,,,,1850000
,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,0,70,23221,488844,17,,,6,1,1,2,,,,,1900,,,,,,,,158000
,1,,1,,1,,,,1,,,,1,,,,,,,,,,,,1,,1,,,,,1,,,,,1,1,,,,1,,,,1,1,,1,,,,1,,,,,1,,,1,,,,,,0,248,23445,488923,18,1,3,8,,5,5,,,,,1900,,,,,,,,2350000
