requete,formattage,lat,lng
"rue+des+Jardiniers,Paris,France","Rue des Jardiniers, 75012 Paris, France",48.8341146,2.3957934
"rue+Jeanne+Jugan,Paris,France","Rue Jeanne Jugan, 75012 Paris, France",48.8451555,2.4146607
"rue+Lamblardie,Paris,France","Rue Lamblardie, 75012 Paris, France",48.8398914,2.3964683
"avenue+Lamoriciere,Paris,France","Avenue Lamoriciere, 75012 Paris, France",48.8452513,2.412418
"cite+Moynet,Paris,France","Cite Moynet, 75012 Paris, France",48.84369,2.3863707
"rue+de+la+Nativite,Paris,France","Rue de la Nativite, 75012 Paris, France",48.8353287,2.3865123
"rue+du+Niger,Paris,France","Rue du Niger, 75012 Paris, France",48.8439675,2.4082967
"place+des+Combattants+en+Afrique+du+Nord,Paris,France","Rue des Combattants d'Afrique du N, 92310 Sevres, France",48.8233866,2.2116184
"voie+P/12,Paris,France","12 Avenue la Voie Lactee, 92100 Boulogne-Billancourt, France",48.833367,2.2602664
"rue+Parrot,Paris,France","Rue Parrot, 75012 Paris, France",48.8468637,2.373481
"route+des+Pelouses,Paris,France","Route des Pelouses, 75012 Paris, France",48.8395343,2.462605
"route+Dom+Perignon,Paris,France","Paris, France",48.856614,2.3522219
"avenue+du+Polygone,Paris,France","Avenue du Polygone, 75012 Paris, France",48.8375478,2.4317066
"cour+du+Ponant,Paris,France","Paris, France",48.856614,2.3522219
"rue+Erik+Satie,Paris,France","Rue Erik Satie, 75019 Paris, France",48.8845271,2.3862575
"boulevard+Serurier,Paris,France","Bd Serurier, 75019 Paris, France",48.8881688,2.3958296
"rue+de+Tanger,Paris,France","Rue de Tanger, 75019 Paris, France",48.8866307,2.3692937
"rue+Georges+Thill,Paris,France","Rue Georges Thill, 75019 Paris, France",48.8867922,2.3890107
"rue+de+Toulouse,Paris,France","Rue de Toulouse, 75019 Paris, France",48.8854915,2.395489
"rue+Henri+Turot,Paris,France","Rue Henri Turot, 75019 Paris, France",48.8766713,2.3729498
"rue+Edgar+Varese,Paris,France","Rue Edgar Varese, 75019 Paris, France",48.8895194,2.389667
"passage+de+Verdun,Paris,France","Passage de Verdun, 75019 Paris, France",48.8877915,2.3814058
"passage+Wattieaux,Paris,France","Passage Wattieaux, 75019 Paris, France",48.8941104,2.3751297
"voie+Y/19,Paris,France","19 Voie Georges Pompidou, 75004 Paris, France",48.8542102,2.3548962
"rue+Brancion,Paris,France","Rue Brancion, 75015 Paris, France",48.8321248,2.3029702
"square+Brancion,Paris,France","Square Brancion, 75015 Paris, France",48.8273655,2.3004387
"voie+BZ/15,Paris,France","Paris, France",48.856614,2.3522219
"voie+CA/15,Paris,France","Paris, France",48.856614,2.3522219
"rue+Carcel,Paris,France","Rue Carcel, 75015 Paris, France",48.8402472,2.299665
"voie+CD/15,Paris,France","Paris, France",48.856614,2.3522219
"place+Marcel+Cerdan,Paris,France","Place Marcel Cerdan, 75015 Paris, France",48.8509284,2.2925985
"voie+CG/15,Paris,France","Paris, France",48.856614,2.3522219
"impasse+Chandon,Paris,France","Impasse Chandon, 75015 Paris, France",48.838711,2.287694
"place+Saint-Charles,Paris,France","Place Saint-Charles, 92600 Asnieres-sur-Seine, France",48.908047,2.276135
"rue+Chauvelot,Paris,France","Rue Chauvelot, 75015 Paris, France",48.8290838,2.3025019
"place+Albert+Cohen,Paris,France","Place Albert Cohen, 75015 Paris, France",48.8395431,2.2726885
"rue+Francois+Coppee,Paris,France","Rue Francois Coppee, 75015 Paris, France",48.8400908,2.2876581
"rue+Corbon,Paris,France","Rue Corbon, 75015 Paris, France",48.8362081,2.3030374
"rue+Cournot,Paris,France","Rue Cournot, 75015 Paris, France",48.8401007,2.2930299
"square+du+Croisic,Paris,France","Square du Croisic, Paris, France",48.845677,2.317291
"rue+de+Cronstadt,Paris,France","Rue de Cronstadt, 75015 Paris, France",48.8341451,2.3018319
"allee+des+Cygnes,Paris,France","Allee des Cygnes, Paris, France",48.8533804,2.2844271
"place+des+Martyrs+Juifs+du+Velodrome+d'Hiver,Paris,France","Paris, France",48.856614,2.3522219
"rue+Theodore+Deck,Paris,France","Rue Theodore Deck, 75015 Paris, France",48.8374113,2.2900872
"boulevard+Garibaldi,Paris,France","Boulevard Garibaldi, 75015 Paris, France",48.8463827,2.3063729
"villa+Garnier,Paris,France","Villa Garnier, 75015 Paris, France",48.8439517,2.3180501
"rue+Andre+Gide,Paris,France","Rue Andre Gide, 75015 Paris, France",48.8370643,2.3129355
"rue+d'Oradour-Sur-Glane,Paris,France","Rue d'Oradour-sur-Glane, Paris, France",48.8311245,2.2829526
